round,f1,auc
1,0.9988,0.9983
2,0.9986,0.9986
3,0.9992,0.9989
4,0.9993,0.9992
5,0.9993,0.9995
6,0.9993,0.9997
7,0.9994,0.9998
8,0.9994,0.9997
9,0.9994,0.9995
10,0.9994,0.9995
11,0.9995,0.9995
12,0.9996,0.9997
13,0.9996,0.9997
14,0.9996,0.9995
15,0.9996,0.9995
16,0.9996,0.9997
17,0.9996,0.9995
18,0.9997,0.9997
19,0.9996,0.9995
20,0.9996,0.9993
21,0.9997,0.9997
22,0.9997,0.9993
23,0.9997,0.9995
24,0.9997,0.9993
25,0.9997,0.9993
26,0.9997,0.9995
27,0.9997,0.9993
28,0.9997,0.9993
29,0.9997,0.9993
30,0.9997,0.9995
